,comands,real_current,goal_current,goal_next
140,очень сильно вверх ,0.0694162986037693,0.0694162986037693,0.4272303317655356
141,чуть-чуть вверх ,0.4272303317655356,0.4272303317655356,0.5622403959232576
142,чуть-чуть вверх ,0.5622403959232576,0.5622403959232576,0.7471153440514348
143,вниз чуть-чуть ,0.7471153440514348,0.7471153440514348,0.6355359086805775
144,вниз сильно ,0.6355359086805775,0.6355359086805775,0.0002585871483821167
145,уверенно вверх ,0.0002585871483821167,0.0002585871483821167,0.4461215265300439
146,средне вниз ,0.4461215265300439,0.4461215265300439,0.12112852635974025
147,средне вверх ,0.12112852635974025,0.12112852635974025,0.5208139649090261
148,немного вниз ,0.5208139649090261,0.5208139649090261,0.2970737892823757
149,уверенно вверх ,0.2970737892823757,0.2970737892823757,0.8392100494811083
150,средне вниз ,0.8392100494811083,0.8392100494811083,0.5965038502260576
151,средне вниз ,0.5965038502260576,0.5965038502260576,0.2751865553617646
152,немного вверх ,0.2751865553617646,0.2751865553617646,0.48573787133103696
153,вниз чуть-чуть ,0.48573787133103696,0.48573787133103696,0.4228205975545426
154,чуть-чуть вверх ,0.4228205975545426,0.4228205975545426,0.5053368452775643
155,средне вниз ,0.5053368452775643,0.5053368452775643,0.11983999200601514
156,так-же ,0.11983999200601514,0.11983999200601514,0.1135913379443263
157,средне вверх ,0.1135913379443263,0.1135913379443263,0.549599848878085
158,немного вверх ,0.549599848878085,0.549599848878085,0.8164689900342458
159,немного вниз ,0.8164689900342458,0.8164689900342458,0.5060494932276425
160,вниз чуть-чуть капельку ,0.5060494932276425,0.5060494932276425,0.48363659060902964
161,средне вниз ,0.48363659060902964,0.48363659060902964,0.18701108195375715
162,уверенно вверх ,0.18701108195375715,0.18701108195375715,0.824600239783066
163,вниз сильно ,0.824600239783066,0.824600239783066,0.01185822809647441
164,чуть-чуть вверх ,0.01185822809647441,0.01185822809647441,0.09005152174105602
165,чуть-чуть вверх ,0.09005152174105602,0.09005152174105602,0.1914982388787062
166,уверенно вверх ,0.1914982388787062,0.1914982388787062,0.6894452208403041
167,вниз чуть-чуть капельку ,0.6894452208403041,0.6894452208403041,0.6418338248625785
168,немного вверх ,0.6418338248625785,0.6418338248625785,0.9400025069769461
169,вниз сильно ,0.9400025069769461,0.9400025069769461,0.27739192219934894
170,сильно вверх ,0.27739192219934894,0.27739192219934894,0.9618159410913221
171,средне вниз ,0.9618159410913221,0.9618159410913221,0.5792220335250061
172,уверенно вниз ,0.5792220335250061,0.5792220335250061,0.08963066217142368
173,капельку чуть-чуть вверх ,0.08963066217142368,0.08963066217142368,0.14010145382681105
174,очень сильно вверх ,0.14010145382681105,0.14010145382681105,0.9639680957994418
175,вниз сильно ,0.9639680957994418,0.9639680957994418,0.38832953994764485
176,вниз чуть-чуть ,0.38832953994764485,0.38832953994764485,0.30471474171415236
177,чуть-чуть вверх ,0.30471474171415236,0.30471474171415236,0.372893304428375
178,уверенно вверх ,0.372893304428375,0.372893304428375,0.8204420449855909
179,уверенно вниз ,0.8204420449855909,0.8204420449855909,0.25002228648001024
180,средне вверх ,0.25002228648001024,0.25002228648001024,0.690033178344228
181,уверенно вниз ,0.690033178344228,0.690033178344228,0.027480873849643594
182,уверенно вверх ,0.027480873849643594,0.027480873849643594,0.6255747876451886
183,немного вверх ,0.6255747876451886,0.6255747876451886,0.8951483608393888
184,капельку чуть-чуть вверх ,0.8951483608393888,0.8951483608393888,0.9625861999605296
185,уверенно вниз ,0.9625861999605296,0.9625861999605296,0.360740026011113
186,средне вверх ,0.360740026011113,0.360740026011113,0.8087921838719362
187,вниз сильно ,0.8087921838719362,0.8087921838719362,0.1110188339136714
188,уверенно вверх ,0.1110188339136714,0.1110188339136714,0.6452760571660292
189,чуть-чуть вверх ,0.6452760571660292,0.6452760571660292,0.7341308287945149
190,немного вниз ,0.7341308287945149,0.7341308287945149,0.5257707770434075
191,немного вверх ,0.5257707770434075,0.5257707770434075,0.6985040485548307
192,немного вниз ,0.6985040485548307,0.6985040485548307,0.43745398194130525
193,вниз чуть-чуть ,0.43745398194130525,0.43745398194130525,0.38624753078665186
194,уверенно вверх ,0.38624753078665186,0.38624753078665186,0.9616221509641613
195,немного вниз ,0.9616221509641613,0.9616221509641613,0.7960547867506458
196,чуть-чуть вверх ,0.7960547867506458,0.7960547867506458,0.8995549436574471
